K,cluster,representative_source,phase,parameter,unit,n_cluster,n_valid,n_missing,median,std,p05,p95,width90,minimum,maximum,range,skewness,error95,error_max,angle_origin_deg,angle_resultant
17,10,15482,backward,a,km,12439,12439.0,0.0,223818.03829213724,7021.639694350212,210922.44946162117,233288.56924165983,22366.119780038658,207215.15048406567,246963.43546736118,39748.28498329551,-0.2672239930348098,12439.313545571189,23739.392539934546,nan,nan
17,11,154309,backward,a,km,27447,27447.0,0.0,915095.0965154293,157339.1076064532,810129.4181864599,1286022.8051307416,475893.38694428164,777457.9442767886,1767039.7631853386,989581.81890855,1.2914556403190727,384600.5774346337,865617.5354892308,nan,nan
17,12,34080,backward,a,km,3336,3336.0,0.0,225082.64901563048,12351.25713769106,205488.45227471046,241642.73539920565,36154.28312449518,195309.88064042752,247085.45484079805,51775.57420037052,-0.08465426377813545,22083.423560084586,27517.328763629746,nan,nan
17,13,161766,backward,a,km,26156,26156.0,0.0,1148258.4695198156,205354.0395143703,945405.5483784834,1622339.81281663,676934.2644381465,799173.0799617807,1861890.515470514,1062717.4355087334,0.8954131719780949,480950.130397611,720500.8330514953,nan,nan
17,14,168732,backward,a,km,14242,14242.0,0.0,909679.4825323967,52711.14109459843,854487.425041945,1026971.2776813313,172483.8526393863,784926.8344316621,1141380.1215539481,356453.28712228604,1.0594545203979098,123229.61392675292,237638.45779936982,nan,nan
17,15,73397,backward,a,km,5239,5239.0,0.0,201698.59750155857,9653.286641675424,198338.02545472444,236510.93441036326,38172.90895563882,195307.7820306998,247185.0776016098,51877.295570910006,3.4881230763562505,37151.010191619185,47825.15338286574,nan,nan
17,16,41395,backward,a,km,9308,9308.0,0.0,230298.80258990396,6085.342138144626,220571.9541940298,239550.73181266754,18978.777618637745,217107.41545711618,246236.37760360824,29128.962146492064,-0.03634626665701221,13164.926333036732,19850.572123977443,nan,nan
17,0,128398,backward,e,-,31228,31228.0,0.0,0.7499887981144899,0.06448734124022497,0.630095626562283,0.8370667771425826,0.20697115058029958,0.5125146788550233,0.8956261106421681,0.3831114317871448,-0.5698566414395468,0.14414199981782477,0.2617229475250844,nan,nan
17,1,34371,backward,e,-,5403,5403.0,0.0,0.5125194208743603,0.02338385230495943,0.4678617769215722,0.5342202304155609,0.06635845349398867,0.24631079413695406,0.5719985499113021,0.325687755774348,-2.930565975844367,0.03627462575253749,0.2548894213214447,nan,nan
17,2,49166,backward,e,-,7431,7431.0,0.0,0.3243132889201313,0.03993135190191443,0.2571745450150174,0.38482277897860134,0.12764823396358393,0.22127479764824046,0.4394687349284241,0.21819393728018363,-0.07421617828635686,0.08765197782233011,0.1235333803225809,nan,nan
17,3,208293,backward,e,-,6000,6000.0,0.0,0.5955240359361764,0.12835331776778347,0.43487750056462776,0.8658756548316073,0.43099815426697957,0.3906839973578159,0.8954556794646302,0.5047716821068143,0.4883525654908128,0.2502384017609364,0.27981842639395926,nan,nan
17,4,48796,backward,e,-,7237,7237.0,0.0,0.46281168037349074,0.055715077606230325,0.26934052882875653,0.5032172155689568,0.2338766867402003,0.23753096142010835,0.5726100256578895,0.3350790642377812,-2.2226623438105166,0.18456561321830314,0.2163751806269514,nan,nan
17,5,122456,backward,e,-,16862,16862.0,0.0,0.6190673101262856,0.0626230981881566,0.5164554680437545,0.7038948404289747,0.18743937238522013,0.4922151283516908,0.8952915352991448,0.40307640694745406,0.2877566354677584,0.10261557137337206,0.28559276668989253,nan,nan
17,6,28932,backward,e,-,2744,2744.0,0.0,0.20498719764969103,0.036657820944955045,0.1725335477348678,0.285567946400645,0.11303439866577719,0.16819393098549065,0.33167325636093886,0.1634793253754482,1.1643336433459923,0.07593795296922604,0.12204326292951989,nan,nan
17,7,5959,backward,e,-,5279,5279.0,0.0,0.41777530347972935,0.05848378504762446,0.29571628277973366,0.4832937970474436,0.1875775142677099,0.20847800497888097,0.49627819477535434,0.28780018979647337,-0.7762481919907431,0.1300018648358501,0.21724014263670283,nan,nan
17,8,81619,backward,e,-,8173,8173.0,0.0,0.4397784113221035,0.03135030010018535,0.3933952920814274,0.4814586352565199,0.08806334317509251,0.24864812177682707,0.5729713754320799,0.32432325365525283,-0.8010071375747626,0.052540423760244745,0.18173801046239044,nan,nan
17,9,219846,backward,e,-,5600,5600.0,0.0,0.3784265909541133,0.026368766450315072,0.35715735546805144,0.43080845479081487,0.07365109932276342,0.35264176551903914,0.5774913853403996,0.22484961982136042,1.924872178065235,0.043003616281782675,0.18968654683136738,nan,nan
17,10,15482,backward,e,-,12439,12439.0,0.0,0.3686951139080302,0.052064929688063616,0.29618629374937205,0.46223245758203996,0.1660461638326679,0.17122126751088823,0.4886047653412886,0.3173834978304004,0.20967207973634924,0.09174963027288356,0.20191451390486143,nan,nan
17,11,154309,backward,e,-,27447,27447.0,0.0,0.4690060160477148,0.0767470714780234,0.39187638956696447,0.6276874190868265,0.235811029519862,0.36163342309283875,0.7308438265777399,0.3692104034849012,0.6557505910572721,0.16813754855816357,0.2712939560490771,nan,nan
17,12,34080,backward,e,-,3336,3336.0,0.0,0.36000773545332887,0.09406010599774725,0.2259346679715828,0.5009894113996229,0.27505474342804015,0.17062127080742276,0.5728380058839121,0.40221673507648936,0.001206272216415379,0.174307136038575,0.22962053320273504,nan,nan
17,13,161766,backward,e,-,26156,26156.0,0.0,0.5821289007595422,0.06777275584976418,0.4872240771527036,0.7062103627500994,0.2189862855973958,0.3814883409852677,0.7442977461210382,0.3628094051357705,0.10467113218505385,0.13642577576673404,0.1979252372802937,nan,nan
17,14,168732,backward,e,-,14242,14242.0,0.0,0.46542342390637165,0.0310001872266182,0.4274087749048218,0.5299624769311502,0.10255370202632835,0.3685913824659192,0.5801137771448902,0.211522394678971,0.6716709046294612,0.0695404041565804,0.11880632488429105,nan,nan
17,15,73397,backward,e,-,5239,5239.0,0.0,0.5277634779474808,0.07340081507593721,0.2715348281471112,0.5514588960521883,0.2799240679050771,0.16915703389195855,0.5728758045889726,0.403718770697014,-3.577390553527082,0.2727838203648619,0.37516161462001474,nan,nan
17,16,41395,backward,e,-,9308,9308.0,0.0,0.3204953382336281,0.04743731209945381,0.2448538763033114,0.3930822203015526,0.1482283439982412,0.180593582616516,0.4170346165478668,0.23644103393135077,-0.04115591357058804,0.10535719923644486,0.16961749292324027,nan,nan
17,0,128398,backward,w,deg,31228,31228.0,0.0,-1.2883401376113568,4.959838635266689,-5.828153860072008,10.89737426071338,16.725528120785388,-9.627846659291947,15.715523568816252,25.3433702281082,1.0938913101953012,13.768021119932005,18.586170428034848,20.215518473151747,0.9962616212368617
17,1,34371,backward,w,deg,5403,5403.0,0.0,-1.4540311213673363,5.951647310700943,-7.029474851956638,12.22651094345649,19.255985795413128,-17.165296883413333,28.171582172953407,45.33687905636674,1.1548048680479814,17.424027867617113,33.36909909711403,191.51692884092756,0.9946260442908783
17,2,49166,backward,w,deg,7431,7431.0,0.0,0.43022761584222735,5.190729980861244,-6.383055533374062,4.854254393352207,11.237309926726269,-35.590841514079415,13.11042536108053,48.701266875159945,-3.864572696819563,7.556534053796696,35.66599998544325,207.13664310918207,0.9959720348762953
17,3,208293,backward,w,deg,6000,6000.0,0.0,-0.44828015967220836,7.438849813917258,-9.41154279618557,15.002117055665664,24.413659851851236,-9.896996989000513,16.14725780813899,26.0442547971395,0.48364371420856234,21.19737119614804,22.342511948621365,20.512103690307335,0.9915983250727797
17,4,48796,backward,w,deg,7237,7237.0,0.0,-1.2982472716826976,5.127762881818107,-5.277199369020946,12.237227686343537,17.514427055364482,-24.576356928564877,21.326860700103367,45.903217628668244,1.5526732211052423,15.360823912713963,24.415908693992378,198.37021466083314,0.9960102050368611
17,5,122456,backward,w,deg,16862,16862.0,0.0,0.2503756591470676,2.3380623110819547,-3.1587029066289602,2.810887303179459,5.96959020980842,-16.5652625760454,8.792557453130826,25.357820029176224,-1.8313054193229072,3.841220221300541,16.93635362871433,27.183486518159686,0.9991690150199506
17,6,28932,backward,w,deg,2744,2744.0,0.0,2.4010908723092967,13.18926628103255,-27.64856716504852,14.242317985221126,41.890885150269646,-32.39271283121346,15.781480859339723,48.17419369055318,-0.8252635478340409,37.04732921951049,41.79147488567543,204.15815183763792,0.9738158171941373
17,7,5959,backward,w,deg,5279,5279.0,0.0,-3.9435009699144246,13.763737981167457,-13.828312789913777,23.111149289921293,36.93946207983507,-23.111853379415123,25.409671566326267,48.52152494574139,0.4987626091481672,37.53548561450294,39.83400789090791,194.61554299678448,0.9713741369523753
17,8,81619,backward,w,deg,8173,8173.0,0.0,-0.24088483643754444,4.3980531037607005,-5.178618747027713,6.948181807654141,12.126800554681854,-30.87000891252842,15.68777547165385,46.55778438418227,-0.7299411498511345,8.005461251677536,33.24767372304615,204.00817247041417,0.9970693799194947
17,9,219846,backward,w,deg,5600,5600.0,0.0,1.1003019760446051,5.248995533191586,-9.582669166313527,6.160736191709188,15.743405358022716,-15.421044521885477,7.165758752257062,22.58680327414254,-0.6012964865646894,12.86402804761144,13.869050608159341,29.490917029743947,0.995810411546523
