# r0x r0y r0z v0x v0y v0z t0_days Cj DE DV Emax h_perigeo h_min_periluneo
8.609173664635405876e+05 -2.964329393553935806e+05 0.000000000000000000e+00 -9.710605148187654301e-01 7.954782147580721219e-01 0.000000000000000000e+00 -3.741315258733042865e+05 1.360000000000000098e+00 1.245733233350726499e+00 1.628611359540876435e+00 3.470232138341275419e-01 6.170026372876163805e+02 7.244182406546815400e+02
8.594213132714577951e+05 -2.967572584820265183e+05 0.000000000000000000e+00 -9.667802775931957360e-01 7.962056397827947940e-01 0.000000000000000000e+00 -3.741315258733042865e+05 1.370000000000000107e+00 1.243054195659334837e+00 1.616593156340449866e+00 3.428805979856685560e-01 3.472936974724525498e+02 8.054510665538127796e+02
-8.201370368505129591e+05 3.274486644312995486e+05 0.000000000000000000e+00 9.105989742315829805e-01 -8.314852873725990801e-01 0.000000000000000000e+00 -7.856762043339390075e+05 1.370000000000000107e+00 1.223258124080052411e+00 1.601347582384613943e+00 3.241908099741881988e-01 2.733528936964685272e+02 1.204751420214388190e+03
-8.501934353567539947e+05 3.595492021608890500e+05 0.000000000000000000e+00 8.868735209187110780e-01 -8.260862723530099094e-01 0.000000000000000000e+00 -8.230893569212694420e+05 1.380000000000000115e+00 1.223499707847430562e+00 2.969924796760517793e+00 3.180761307145867911e-01 3.488932043917939154e+02 1.319516387460442957e+03
-8.322383092121179216e+05 3.803896161984080682e+05 0.000000000000000000e+00 8.519801976945214905e-01 -8.437998793940186815e-01 0.000000000000000000e+00 -8.230893569212694420e+05 1.390000000000000124e+00 8.201696146761265904e-01 2.689400497659631739e+00 2.984538779430754296e-01 4.065647247169272305e+02 4.561100018827262829e+03
-8.464916239235003013e+05 3.606720955006614095e+05 0.000000000000000000e+00 8.801457593691150993e-01 -8.276516417310814111e-01 0.000000000000000000e+00 -8.230893569212694420e+05 1.390000000000000124e+00 1.223586356686462429e+00 2.244675620163580909e+00 3.119735834502611049e-01 4.168576517197634530e+02 1.443317196798441955e+03
-8.849940023009730503e+05 1.784779184711972193e+05 0.000000000000000000e+00 1.070780541139340070e+00 -6.757552524880765521e-01 0.000000000000000000e+00 -7.856762043339390075e+05 1.390000000000000124e+00 8.964982738844367027e-01 1.917686480844505326e+00 3.765254511916086289e-01 5.292475943380059107e+02 4.640731533799998033e+03
-6.124127810765684117e+05 -6.210495531353469705e+05 0.000000000000000000e+00 1.501035571839312688e+00 5.693818744743788240e-01 0.000000000000000000e+00 -5.986104413972868351e+05 1.390000000000000124e+00 1.374112976331073765e+00 2.561760170060712660e+00 8.518768932723556064e-01 3.701653398486305377e+02 1.972750543487301684e+03
-3.112612350191317964e+05 8.527416428709931206e+05 0.000000000000000000e+00 1.876306265027688491e-02 -9.774343656108136491e-01 0.000000000000000000e+00 -8.979156620959301945e+05 1.400000000000000133e+00 5.698933340966999550e-01 2.340113920732969532e+00 4.691805051061731513e-02 6.895135069240868688e+02 8.096541251539569203e+03
-8.427757851868220605e+05 3.617942633181369165e+05 0.000000000000000000e+00 8.733820516919561516e-01 -8.292095236824735816e-01 0.000000000000000000e+00 -8.230893569212694420e+05 1.400000000000000133e+00 1.223541027770532974e+00 1.725677899849799246e+00 3.058685493509296083e-01 4.766990729083399856e+02 1.575146662325038960e+03
