# r0x r0y r0z v0x v0y v0z t0_days Cj DE DV Emax h_perigeo h_min_periluneo
-1.008846766305633537e+04 -1.553839372112169713e+03 0.000000000000000000e+00 4.753592359059785721e+00 -9.858376715015502612e+00 0.000000000000000000e+00 -1.462595320717117866e+05 5.200000000000000178e-01 1.746931953365207513e-01 3.198863180249934324e+00 1.081648053667926268e-01 2.463153482574725786e+02 1.670653995068529866e+03
-4.316566862965183645e+03 -9.218947516797759818e+03 0.000000000000000000e+00 6.863578460156203320e+00 -5.092662714545703295e+00 0.000000000000000000e+00 -1.387590432475214475e+05 5.200000000000000178e-01 1.528536498026698831e-01 2.497222695064584386e+00 9.186234514627239500e-02 6.305791442736144745e+02 2.760433808905559636e+04
6.958035396760678850e+03 2.157886441431305138e+04 0.000000000000000000e+00 5.240787609846047523e+00 2.631031096667382219e+00 0.000000000000000000e+00 -1.687609985442828329e+05 5.300000000000000266e-01 1.519642559852495634e+00 1.665428271442904062e+00 1.059460193066495970e+00 3.669787900265573626e+02 6.771359394230051976e+02
-8.158920028052454654e+03 9.540483972032578095e+03 0.000000000000000000e+00 5.431299792446143471e+00 7.957090829640460328e+00 0.000000000000000000e+00 -1.687609985442828329e+05 5.300000000000000266e-01 6.493781954910735621e-01 2.791838671899205870e+00 1.911629551491670631e-01 2.318357915617889375e+02 4.513861228858806498e+03
-3.099303404255787427e+03 -1.017052781197381410e+04 0.000000000000000000e+00 6.804964535125539449e+00 -4.524991539969353660e+00 0.000000000000000000e+00 -1.387590432475214475e+05 5.300000000000000266e-01 1.531837406104590293e-01 2.387122387424088998e+00 8.792443551253582845e-02 7.004219783274957081e+02 2.761512967284571278e+04
7.734774574980438047e+03 2.174243417114278418e+04 0.000000000000000000e+00 5.207580487170772265e+00 2.538305007891101361e+00 0.000000000000000000e+00 -1.687609985442828329e+05 5.400000000000000355e-01 1.515708558615035395e+00 1.643583711394833280e+00 1.052252016359571885e+00 2.300481679622189404e+02 7.701144405416742984e+02
-1.895639639858534792e+03 -1.103073416179207925e+04 0.000000000000000000e+00 6.709460962287099761e+00 -4.053845349423387034e+00 0.000000000000000000e+00 -1.387590432475214475e+05 5.400000000000000355e-01 1.535150476618461490e-01 2.289104625494327472e+00 8.398998247205871626e-02 7.707592498694948517e+02 2.762632318594487879e+04
7.968951548235538212e+03 -1.445797033598614871e+04 0.000000000000000000e+00 5.941468467482340365e+00 -1.928918241942314982e+00 0.000000000000000000e+00 -1.387590432475214475e+05 6.099999999999999867e-01 1.808743132273283316e-01 1.816899919103204475e+00 6.641623167046932508e-02 2.036489820210490507e+02 2.414981760414566816e+04
2.610160422080177796e+03 -1.160762946072136765e+04 0.000000000000000000e+00 6.812186416444673043e+00 -2.482790382619757708e+00 0.000000000000000000e+00 -1.500097764838069561e+05 6.199999999999999956e-01 4.594252286951929221e-01 2.112690659864630227e+00 3.452065723227817906e-01 5.852242457239372015e+02 3.150597785565375489e+03
9.021228095894672151e+03 -1.490157350150424463e+04 0.000000000000000000e+00 5.824662029487919668e+00 -1.801405558261046203e+00 0.000000000000000000e+00 -1.387590432475214475e+05 6.199999999999999956e-01 1.811507397720170387e-01 1.772249320354940316e+00 6.248028065278559556e-02 2.749865211029791681e+02 2.414629103728497648e+04
1.005554148418683508e+04 -1.532613441161965966e+04 0.000000000000000000e+00 5.714689089665368371e+00 -1.687863530719927674e+00 0.000000000000000000e+00 -1.387590432475214475e+05 6.300000000000000044e-01 1.815206975927347310e-01 1.731024670564213608e+00 5.864006326263832697e-02 3.468653666221125604e+02 2.414331666749704527e+04
-1.105239781884529657e+04 -2.708174516987467541e+03 0.000000000000000000e+00 -2.231076017936965972e+00 1.056776432922808695e+01 0.000000000000000000e+00 -2.223894936372437980e+06 6.400000000000000133e-01 9.480844533131204122e-01 3.133274794977111810e+00 4.302662228093949159e-01 3.673935198734006917e+02 3.126166320723958052e+03
1.107311020457290033e+04 -1.573386749826796404e+04 0.000000000000000000e+00 5.611003679442021053e+00 -1.586121798036867592e+00 0.000000000000000000e+00 -1.387590432475214475e+05 6.400000000000000133e-01 1.818018988697542304e-01 1.692792252003758158e+00 5.471330025262308855e-02 4.192891771146969404e+02 2.414089797326788903e+04
1.207504793417850669e+04 -1.612664249262418525e+04 0.000000000000000000e+00 5.513090078046975151e+00 -1.494431314324309756e+00 0.000000000000000000e+00 -1.387590432475214475e+05 6.500000000000000222e-01 1.821752243823770712e-01 1.657189886283318536e+00 5.088087992321942837e-02 4.922616535674978877e+02 2.413903843090275404e+04
-1.018784547412034772e+04 -2.315280270079868842e+03 0.000000000000000000e+00 4.597232650652417263e+00 -9.532683841885285503e+00 0.000000000000000000e+00 -1.425092876596165879e+05 6.600000000000000311e-01 1.825926196523496858e-01 3.088262376477179494e+00 4.705241470202035925e-02 5.657865384000779159e+02 2.413774151421558054e+04
-9.194276693227591750e+03 -4.193014596474584323e+03 0.000000000000000000e+00 5.668846358515345685e+00 -8.474590865160360309e+00 0.000000000000000000e+00 -1.425092876596165879e+05 6.700000000000000400e-01 1.828866266664040396e-01 2.974529469488651934e+00 4.313888528251991900e-02 6.398676223497996034e+02 2.413701069422258661e+04
-8.028479552232734932e+03 -5.850639994561244748e+03 0.000000000000000000e+00 6.311426679964742270e+00 -7.385874494200530549e+00 0.000000000000000000e+00 -1.425092876596165879e+05 6.800000000000000488e-01 1.832711758391355195e-01 2.833348243671985678e+00 3.931839077985365555e-02 7.145087362505746569e+02 2.413684943883880624e+04
-6.767789797626432119e+03 -7.300082692250982291e+03 0.000000000000000000e+00 6.634391459351545173e+00 -6.405765727604866733e+00 0.000000000000000000e+00 -1.425092876596165879e+05 6.900000000000000577e-01 1.835694959790702407e-01 2.688386907426767003e+00 3.541428855460201919e-02 7.897137574678235978e+02 2.413726121258010608e+04
5.045152812197743515e+03 2.217517116327905023e+04 0.000000000000000000e+00 5.085769187259884028e+00 3.094406986288091410e+00 0.000000000000000000e+00 -2.025131982531393878e+05 7.000000000000000666e-01 7.703805185551960699e-01 1.682375904855089921e+00 2.221890152661134266e-01 2.906690027014801672e+02 1.667351107037816746e+03
-3.760245699771299769e+03 1.150167944128213639e+04 0.000000000000000000e+00 3.472089218116773957e+00 5.961363301737586440e+00 0.000000000000000000e+00 -1.830119273102444829e+06 7.399999999999999911e-01 1.496944168344648940e+00 1.961034791770642549e+00 9.252383779745755321e-01 4.723057836059788315e+02 1.025607111965757213e+03
3.026652468699976907e+03 -1.252464501471989570e+04 0.000000000000000000e+00 6.475108215777775733e+00 -2.721624192244244789e+00 0.000000000000000000e+00 -1.425092876596165879e+05 7.399999999999999911e-01 2.201280246794311557e-01 2.038821053351918877e+00 3.751976295998922517e-02 2.189635270955495798e+02 2.035580574775674177e+04
4.262838522085095974e+03 -1.313741139922759248e+04 0.000000000000000000e+00 6.318480374480655470e+00 -2.475039067954279304e+00 0.000000000000000000e+00 -1.425092876596165879e+05 7.500000000000000000e-01 2.205543625742846792e-01 1.968162921080091721e+00 3.379788607923402827e-02 2.949726706230312629e+02 2.036839048804361300e+04
5.471519976050496552e+03 -1.370909571227707056e+04 0.000000000000000000e+00 6.170523850089870699e+00 -2.264989425227346587e+00 0.000000000000000000e+00 -1.425092876596165879e+05 7.600000000000000089e-01 2.208921162493487078e-01 1.904829842705359155e+00 2.998998548616104570e-02 3.715945264167594360e+02 2.038168748182095806e+04
6.654563656332404207e+03 -1.424597093195751586e+04 0.000000000000000000e+00 6.031344759252717402e+00 -2.084103311149353654e+00 0.000000000000000000e+00 -1.425092876596165879e+05 7.700000000000000178e-01 2.213222795424594769e-01 1.847646889022020567e+00 2.627703537426293035e-02 4.488334786719960903e+02 2.039569996170750528e+04
-2.346579761724657146e+03 9.494054734924951845e+03 0.000000000000000000e+00 3.717491214638354968e+00 6.349444997521037415e+00 0.000000000000000000e+00 -1.661358274558162084e+06 7.800000000000000266e-01 9.723801495934829564e-01 2.095274149913869621e+00 3.758435114717654790e-01 7.485751097774136724e+02 2.129298960002975491e+03
7.813777578149691180e+03 -1.475304980387072283e+04 0.000000000000000000e+00 5.900635799783170654e+00 -1.926810399385437522e+00 0.000000000000000000e+00 -1.425092876596165879e+05 7.800000000000000266e-01 2.216652781572872322e-01 1.795673602806097335e+00 2.247946592060647009e-02 5.266939664660567360e+02 2.041043112904136433e+04
3.622260279018755682e+03 1.688704318117575167e+04 0.000000000000000000e+00 3.937700451123508749e+00 4.540649519647510957e+00 0.000000000000000000e+00 -1.650107541321876692e+06 7.900000000000000355e-01 9.778119922160348754e-01 1.687247835985019151e+00 3.790787209769854171e-01 5.313877350619695790e+02 2.088459410968572229e+03
-1.054380149077614988e+04 5.140803413840185385e+03 0.000000000000000000e+00 2.350620733504438231e+00 1.028179307774787254e+01 0.000000000000000000e+00 -1.950127094289490487e+05 7.900000000000000355e-01 1.059479033482875643e+00 3.052734233432324196e+00 4.617686961816870883e-01 4.569708429187921865e+02 1.925792686234989333e+03
8.950861809649455608e+03 -1.523439066822188943e+04 0.000000000000000000e+00 5.777898187461810053e+00 -1.788839962674540374e+00 0.000000000000000000e+00 -1.425092876596165879e+05 7.900000000000000355e-01 2.220994185230547868e-01 1.748151035635314265e+00 1.877557966324244765e-02 6.051804834462554936e+02 2.042588415360078943e+04
-4.406917180604234090e+03 3.232130662926850164e+03 0.000000000000000000e+00 2.891069797743686998e+00 8.541820247703920899e+00 0.000000000000000000e+00 -1.642607052497686120e+06 8.000000000000000444e-01 9.834059475851928411e-01 2.592033458632424292e+00 3.824497933838864605e-01 3.168943827643033728e+02 2.052769770795793193e+03
1.006738976738124802e+04 -1.569331854117382863e+04 0.000000000000000000e+00 5.662559976086099844e+00 -1.666872204969467308e+00 0.000000000000000000e+00 -1.425092876596165879e+05 8.000000000000000444e-01 2.224477766616642094e-01 1.704461328245511886e+00 1.498845776863026551e-02 6.842975787454461170e+02 2.044206217335117617e+04
