K,cluster,representative_source,phase,parameter,unit,n_cluster,n_valid,n_missing,median,std,p05,p95,width90,minimum,maximum,range,skewness,error95,error_max,angle_origin_deg,angle_resultant
10,6,168099,backward,w,deg,9888,9888.0,0.0,-1.1640504517665704,4.982771974329356,-6.278273319003606,10.435235386822185,16.71350870582579,-15.293082519231007,11.058413504527124,26.35149602375813,0.8065746340408793,10.687125209159811,15.113083643274706,25.880754333090817,0.9962260193307628
10,7,148986,backward,w,deg,58713,58713.0,0.0,0.5375990024407429,4.158532397688839,-8.530224723041652,5.646852428990666,14.177077152032318,-15.143285892670377,8.691733889289878,23.835019781960256,-0.6988444253470697,12.853596131787224,19.46665730141592,27.65575883420884,0.9973698314016807
10,8,78072,backward,w,deg,15687,15687.0,0.0,-0.34753752104995783,5.371724030225457,-7.790160982274861,9.404425629080913,17.194586611355774,-27.014851251809546,19.60530860629001,46.620159858099555,0.2909887133554408,11.004520802712486,25.592871143867995,200.61066268816654,0.9956167683563817
10,9,90582,backward,w,deg,9987,9987.0,0.0,-1.6728273653236272,10.383914203750926,-13.145696916277842,21.15908352189191,34.30478043816976,-14.17226844430266,25.75356632032546,39.92583476462812,0.6976592455662791,19.33492264024053,23.92940543867408,194.2977275155445,0.9836967545632417
10,0,181750,forward,eps,km^2/s^2,47920,47920.0,0.0,-0.12842839768721115,0.041463331166054176,-0.19802161728002157,-0.07256937493764941,0.12545224234237218,-0.2587671268542854,-0.05885393284037144,0.19991319401391394,-0.31703814331827396,0.07331918569516993,0.13406469526943376,nan,nan
10,1,160930,forward,eps,km^2/s^2,2213,2213.0,0.0,-0.2568896731780902,0.355481425401782,-0.9654144077815168,-0.11583551645148284,0.849578891330034,-1.0205829238249695,-0.04380055913553149,0.976782364689438,-0.06985213599080226,0.8378396495993657,0.8930081656428185,nan,nan
10,2,31229,forward,eps,km^2/s^2,4929,4929.0,0.0,-0.21346711311523436,0.3575322992969388,-0.9070927873229703,-0.05288036621261127,0.854212421110359,-1.0203849539144754,-0.04389160369217371,0.9764933502223017,-0.11431952968334184,0.7663427889722519,0.8796349555637573,nan,nan
10,3,18261,forward,eps,km^2/s^2,17104,17104.0,0.0,-0.957866648363648,0.037133293467415625,-1.0004793902784446,-0.8854113209372119,0.1150680693412327,-1.0085644016778017,-0.8473067712219301,0.1612576304558716,0.40959610606315594,0.0648678970717586,0.10297244678704043,nan,nan
10,4,216018,forward,eps,km^2/s^2,8846,8846.0,0.0,-0.8437205241028478,0.04317143498096724,-0.9627155277664469,-0.8130923581375682,0.14962316962887867,-1.020820045950525,-0.8067544423545633,0.21406560359596172,-1.3561719845687963,0.13319187695441195,0.19129639513849006,nan,nan
10,5,56494,forward,eps,km^2/s^2,18771,18771.0,0.0,-0.2248127385134958,0.20809198934984685,-0.89303063497599,-0.15272295827695836,0.7403076766990316,-1.0206562915180895,-0.07493086740941213,0.9457254241086773,-2.617739193925543,0.6660975946650647,0.7937232512071641,nan,nan
10,6,168099,forward,eps,km^2/s^2,9888,9888.0,0.0,-0.17699416108144694,0.08580599839534672,-0.2521817078861784,-0.11140680908695834,0.14077489879922006,-1.0208075341283356,-0.06780546489835193,0.9530020692299837,-6.909111049008261,0.07582482980774995,0.8342948043711245,nan,nan
10,7,148986,forward,eps,km^2/s^2,58713,58713.0,0.0,-0.9015231566130261,0.039732654545212735,-0.9620599041013599,-0.8403471500723069,0.12171275402905302,-0.9809766924051869,-0.8071892914486543,0.17378740095653267,0.1080518732272237,0.07589969397059546,0.09270741361119916,nan,nan
10,8,78072,forward,eps,km^2/s^2,15687,15687.0,0.0,-0.1995036355183687,0.21185486032349465,-0.8938958978630585,-0.1293897830755178,0.7645061147875407,-0.9784930170578151,-0.11791661537917486,0.8605764016786402,-2.672273071505123,0.698478747551641,0.7830758667463977,nan,nan
10,9,90582,forward,eps,km^2/s^2,9987,9987.0,0.0,-0.890433432782255,0.036042301470580275,-0.9698258158182618,-0.8527961124806561,0.11702970333760565,-0.9852186064369326,-0.8124351423138624,0.17278346412307022,-0.640051748289707,0.06825738852835347,0.09040635697770194,nan,nan
10,0,181750,forward,e,-,47920,47920.0,0.0,0.6928875715028996,0.10163844934205128,0.5206212111640647,0.8270159499003877,0.30639473873632306,0.35504056762874453,0.8597500074356198,0.5047094398068752,-0.37263866742338614,0.1814747503747626,0.3470553939100827,nan,nan
10,1,160930,forward,e,-,2213,2213.0,0.0,0.48214150652521154,0.16115038369832213,0.22645359930496925,0.7231820580594678,0.49672845875449856,0.1698141830836259,0.8956399397956282,0.7258257567120023,0.28728270581350446,0.46838537682281645,0.5250247930441598,nan,nan
10,2,31229,forward,e,-,4929,4929.0,0.0,0.48543868023635134,0.23504519658319956,0.19324585977086542,0.8740274301142518,0.6807815703433864,0.16971236327555636,0.8954250633070769,0.7257127000315206,0.2345315639820123,0.4693217312873394,0.49285522778264845,nan,nan
10,3,18261,forward,e,-,17104,17104.0,0.0,0.4820902126775943,0.0599976632487934,0.3584643663262826,0.5449437126792985,0.18647934635301594,0.281614650199177,0.5562090261526239,0.27459437595344693,-0.5289638659928132,0.11170189539755992,0.1885516115246656,nan,nan
10,4,216018,forward,e,-,8846,8846.0,0.0,0.27245445262523116,0.0847109807591196,0.19058084551738252,0.48970100087372104,0.2991201553563385,0.17001816509090778,0.572955757279698,0.4029375921887903,1.0031750904946417,0.25236010302848955,0.33561485943446656,nan,nan
10,5,56494,forward,e,-,18771,18771.0,0.0,0.4577059812295445,0.09055205343054645,0.3616697984249154,0.6334666035180953,0.2717968050931798,0.16857236846964585,0.821500275083474,0.6529279066138282,0.24411570854525455,0.194284947394762,0.37613167145849274,nan,nan
10,6,168099,forward,e,-,9888,9888.0,0.0,0.5735427128670743,0.10503213251226846,0.3822780826038914,0.7338407688932796,0.35156268628938825,0.17006665311222163,0.8384885339059525,0.6684218807937308,-0.2997789477270116,0.18933652139892704,0.37956385543827137,nan,nan
10,7,148986,forward,e,-,58713,58713.0,0.0,0.38913605488630076,0.07408646519027089,0.26444420040905675,0.48878586383606515,0.2243416634270084,0.17140178779317194,0.5165534965409148,0.3451517087477428,-0.3792732300461238,0.13157089847921516,0.1934504146156968,nan,nan
10,8,78072,forward,e,-,15687,15687.0,0.0,0.516580449596846,0.10099317408394085,0.3830990295703107,0.6903954346682424,0.30729640509793166,0.1690549787012258,0.718129936460833,0.5490749577596072,-0.34055095535115354,0.17986728612702202,0.3578176083896639,nan,nan
10,9,90582,forward,e,-,9987,9987.0,0.0,0.3684441946840756,0.06435301777499848,0.292492791520293,0.5005505317937218,0.20805774027342877,0.18982757206028292,0.5232019180088082,0.33337434594852533,0.4428212440473761,0.11354468307490014,0.20121370094771765,nan,nan
10,0,181750,forward,w,deg,47920,47920.0,0.0,-4.2723936094465955,20.480807075013825,-23.69597627381162,41.68936592150977,65.38534219532139,-25.480159915359252,91.35225315787602,116.83241307323527,0.9942393765182785,41.63066257099812,91.2935498073644,176.35660403699396,0.9384935153201566
10,1,160930,forward,w,deg,2213,2213.0,0.0,7.192365690091663,86.66432332404696,-107.78711998512665,153.4317968207561,261.2189168058827,-179.90730938613,179.04460889546715,358.95191828159716,0.10529534241135305,172.61170738532937,179.80785285303625,98.74874837508261,0.1889222570755915
10,2,31229,forward,w,deg,4929,4929.0,0.0,22.27527513563132,78.73191940652627,-124.1951675358936,106.15096034251367,230.3461278784073,-179.65352905287185,179.9357284088319,359.5892574617037,-0.04512937151284813,167.71899616545457,179.61559309125371,232.15726733170766,0.28873477778408835
10,3,18261,forward,w,deg,17104,17104.0,0.0,-1.6432373475107624,9.997040715907302,-12.189091864399611,17.435503407615087,29.624595272014698,-13.44711164530122,49.719641504121114,63.166753149422334,1.3611308353180611,23.758998855304,56.04313695181003,302.8566037961781,0.9850047010239468
10,4,216018,forward,w,deg,8846,8846.0,0.0,-9.510081795845835,36.743628457284615,-42.47348642283468,68.39454619766978,110.86803262050447,-57.06313825867606,103.50946450782578,160.57260276650186,0.595342090753579,77.41312584026966,112.52804415042567,78.20307377420698,0.8091178981114617
10,5,56494,forward,w,deg,18771,18771.0,0.0,-5.73298076692538,54.24484957243155,-142.99225992985708,63.08250837812932,206.0747683079864,-179.84068114533946,179.84548478517547,359.6861659305149,-0.4513461790833925,159.22094774727887,179.984593599521,195.3951615923063,0.7225265585136927
10,6,168099,forward,w,deg,9888,9888.0,0.0,-1.8320479392724565,30.131291855659786,-47.294928102192884,46.92886324795737,94.22379135015026,-179.9055296836301,88.8207993693585,268.7263290529886,-1.0043833789924512,58.536012202653225,171.67146851684998,282.50548815444375,0.8836236401578481
10,7,148986,forward,w,deg,58713,58713.0,0.0,-2.837864350119247,16.96219035585694,-19.904436235027514,30.449401134553664,50.35383736958118,-21.58875602533817,103.77079528805177,125.35955131338994,1.3725859509437115,50.871438664464655,124.19283281796277,12.07585041700054,0.9580780470219441
10,8,78072,forward,w,deg,15687,15687.0,0.0,-2.9520555134907625,47.16720403724541,-126.25031139579121,49.96737128752666,176.2176826833179,-179.93171985480106,179.73598245453343,359.66770230933446,-0.8833002211882602,133.2954473029185,179.9952684806143,186.41029977229186,0.7740405778361344
10,9,90582,forward,w,deg,9987,9987.0,0.0,-2.974217142490261,20.16775117450044,-23.41979724928146,40.235795914131614,63.65559316341307,-24.963034699024774,82.83840622692003,107.8014409259448,0.8917690866729542,44.00818394435376,86.61079425714217,314.4103347478542,0.9401998177684987
14,0,181750,backward,eps,km^2/s^2,47927,47927.0,0.0,-0.12687100848309396,0.03958548609989342,-0.19513829542350994,-0.07214376600652826,0.12299452941698168,-0.23188559099245654,-0.058817793307683885,0.17306779768477265,-0.20090413507106514,0.06673051088928099,0.10018995289403498,nan,nan
14,1,21408,backward,eps,km^2/s^2,3508,3508.0,0.0,-0.8431416795420051,0.047388590388232836,-0.9708450289599789,-0.8239996482136098,0.1468453807463691,-1.020836128343177,-0.8067739194775032,0.21406220886567384,-1.0590736794717246,0.13893763529064268,0.18892873467384086,nan,nan
14,2,23147,backward,eps,km^2/s^2,2313,2313.0,0.0,-0.826361100719134,0.03906225562370842,-0.9471070991238125,-0.8113596369135816,0.13574746221023093,-1.020754723273971,-0.806208472304013,0.21454625096995805,-2.405081035035825,0.12396667306089697,0.1976142972110554,nan,nan
14,3,18261,backward,eps,km^2/s^2,17002,17002.0,0.0,-0.9043494745306471,0.03932473387001867,-0.9826920323660695,-0.8569637564438795,0.12572827592219005,-0.9913826165166824,-0.8455281706683686,0.14585444584831375,-0.3915717608327568,0.06773532848744436,0.07587795783810658,nan,nan
