# x0 y0 z0 v0x v0y v0z Cj E_SOI h_min_periluneo h_perigeo
9.867707482384490136e-01 -6.117816856836626703e-03 0.000000000000000000e+00 -2.425704351093963762e+00 -1.174451030659544593e+00 0.000000000000000000e+00 -3.999999999999976907e-01 7.747996508694089401e-01 3.860255921056514694e+01 1.509289701662533917e+05
1.065153591539566458e+00 -1.643149521372126373e-02 0.000000000000000000e+00 7.346185157346252215e-01 1.906832529913665419e-01 0.000000000000000000e+00 2.700000000000004619e+00 2.901409001998987713e-02 1.035857846966984835e+04 8.219044516482480685e+04
1.055163472001865665e+00 -5.851515668022942707e-02 0.000000000000000000e+00 3.452791936918850890e-01 3.440243785028536672e-01 0.000000000000000000e+00 3.000000000000005329e+00 5.833260636479507821e-02 5.952110284258671982e+02 3.754139180344225606e+05
9.571896669165227411e-01 -1.301432039698254342e-02 0.000000000000000000e+00 -1.497220005455323966e+00 -2.057023147415155961e-01 0.000000000000000000e+00 1.400000000000003908e+00 1.134412604472758435e-01 4.435314526461588969e+01 4.480311739702148770e+03
9.567307513103685546e-01 -1.944514258629461215e-02 0.000000000000000000e+00 -1.613936914130012390e+00 -5.584942366707940087e-01 0.000000000000000000e+00 7.000000000000032863e-01 1.244615759768637336e-01 3.946142836951111121e+01 3.749492893501975341e+05
9.504302131091706407e-01 -1.436391247090434108e-02 0.000000000000000000e+00 -1.196843541883523487e+00 1.722035365114914229e-01 0.000000000000000000e+00 2.100000000000004974e+00 4.446763798297909825e-02 3.526475624578654788e+03 8.668815598616221905e+03
9.850429729985644700e-01 -9.179685209832208828e-03 0.000000000000000000e+00 1.892534960413956968e+00 -3.834025671452381129e-02 0.000000000000000000e+00 1.900000000000003908e+00 8.121150502974989749e-01 1.740724317420749458e+03 5.299452402752049966e+04
9.264803490155649746e-01 -2.732329947167399034e-02 0.000000000000000000e+00 -1.463029099832270363e+00 -2.904946854636506481e-01 0.000000000000000000e+00 1.100000000000003197e+00 8.423483518442854978e-02 1.317392727459711523e+03 1.181293307410069247e+04
9.856947576705643588e-01 -1.108510811787737083e-02 0.000000000000000000e+00 -2.017304202854075967e+00 -6.587789928603386969e-01 0.000000000000000000e+00 6.000000000000031974e-01 5.246575426609610959e-01 1.880547446983278633e+03 3.352110591556382133e+03
9.900919717962770594e-01 -2.133584224523568662e-02 0.000000000000000000e+00 1.181566876410360845e+00 2.969955853792808353e-01 0.000000000000000000e+00 2.600000000000004974e+00 3.296629230858728055e-01 3.286073362297676795e+03 2.463802504994288756e+04
