# t_departure_s x_departure_km y_departure_km z_departure_km vx_departure_km_s vy_departure_km_s vz_departure_km_s t_maneuver_s dx_maneuver_km dy_maneuver_km dz_maneuver_km dvx_maneuver_km_s dvy_maneuver_km_s dvz_maneuver_km_s tof_s DV1_km_s DV2_km_s DVtotal_km_s E_SOI_km2_s2 h_moon_km
-4.295815940973067656e+06 -7.615557945244652728e+03 -7.709970846038144373e+03 0.000000000000000000e+00 5.904476868107812138e+00 -9.240151904036096653e+00 0.000000000000000000e+00 -3.369541779720247258e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.259090781008979643e-01 1.899963547068881375e-01 0.000000000000000000e+00 9.262741612528201658e+05 3.169594370355388158e+00 2.279291792424209817e-01 3.397523549597809112e+00 6.391108213090203050e-01 1.872347482315227808e+03
-2.542525329062450211e+06 -1.060950686038816639e+04 3.237285823763834287e+03 0.000000000000000000e+00 1.803681434283904927e+00 1.076477780821801389e+01 0.000000000000000000e+00 -2.013021731237903703e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.612797993518348683e-02 -1.166525605924351172e-01 0.000000000000000000e+00 5.295035978245465085e+05 3.142604008312538166e+00 1.177621825101820563e-01 3.260366190822720167e+00 6.313732118732865439e-01 2.706059445794347695e+01
-1.894452752018676838e+06 -7.297947986998315173e+03 -7.600913135884416079e+03 0.000000000000000000e+00 5.362341053279637393e+00 -9.554475521168310337e+00 0.000000000000000000e+00 -1.112676566315993667e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.228404340293949432e-01 2.109773174439997789e-01 0.000000000000000000e+00 7.817761857026831713e+05 3.161701536539554436e+00 2.441335714489025199e-01 3.405835107988457011e+00 6.242476833937423697e-01 1.211339392845638031e+03
-2.818500381676917896e+06 -7.416628230052675463e+03 1.406463426963796792e+03 0.000000000000000000e+00 5.040448197264090879e+00 -9.702728390903763156e+00 0.000000000000000000e+00 -2.175459004742564633e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -3.052951062601769183e-02 1.733849027726567238e-01 0.000000000000000000e+00 6.430413769343532622e+05 3.150775804984746742e+00 1.760521954664234223e-01 3.326828000451170109e+00 6.177613705405331501e-01 6.327720899415111262e+02
-2.061892696886769962e+06 -9.666626376915541186e+03 -4.954245943794465347e+03 0.000000000000000000e+00 2.797043717806584784e+00 -1.060253083020769971e+01 0.000000000000000000e+00 -1.101422251754469704e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.690510419438907841e-02 4.430858746173260698e-02 0.000000000000000000e+00 9.604704451323003741e+05 3.169228912980919688e+00 4.742397569454883527e-02 3.216652888675468613e+00 6.115800031423043182e-01 1.863874143748911592e+03
-8.471955895085933153e+05 -3.558494005768402985e+03 2.759446229415837934e+03 0.000000000000000000e+00 -1.395202216858033140e+00 1.085300682909715242e+01 0.000000000000000000e+00 -2.903613156873159460e+05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.619462886784973188e-03 -2.588783675695544018e-02 0.000000000000000000e+00 5.568342738212774275e+05 3.147805892427237406e+00 2.728507343606457677e-02 3.175090965863302195e+00 6.050199059309188110e-01 4.798346870559353050e+01
-4.294109878826980479e+06 -7.651026102995509973e+03 -7.631498209689152645e+03 0.000000000000000000e+00 5.747410469443140713e+00 -9.330756440051445111e+00 0.000000000000000000e+00 -3.498966397177772131e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.571717317056415542e-01 2.501554831512549093e-01 0.000000000000000000e+00 7.951434816492081154e+05 3.162923737702285187e+00 2.954331040997064117e-01 3.458356841801991433e+00 5.982360737258753947e-01 1.470029604842890649e+03
-1.935711603015741799e+06 -8.042317638909800735e+03 -6.860605215743291410e+03 0.000000000000000000e+00 4.462717296453750038e+00 -1.000947671544661688e+01 0.000000000000000000e+00 -1.101422251754469704e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -7.287650307101960212e-02 1.530194295508870983e-01 0.000000000000000000e+00 8.342893512612719787e+05 3.164451834853590828e+00 1.694872576919552176e-01 3.333939092545545879e+00 5.926522653048803546e-01 1.951517249931642255e+03
-4.228339763443315402e+06 -7.520681050251932902e+03 -6.551666154539008858e+03 0.000000000000000000e+00 -3.426385285533716463e+00 1.038834360322972650e+01 0.000000000000000000e+00 -3.514722437563905492e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.682116619825314741e-02 -1.513636529523377794e-01 0.000000000000000000e+00 7.136173258794095600e+05 3.160289032744760362e+00 1.584398215072214677e-01 3.318728854251981719e+00 5.866316495473593573e-01 3.448488429429943949e+02
-4.271720792208566330e+06 -7.765623609661277442e+03 -7.051329667843761854e+03 0.000000000000000000e+00 -4.533085946705861957e+00 9.949808169155176074e+00 0.000000000000000000e+00 -3.610759255155576393e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.142062804678205395e-01 -2.458776487188304993e-01 0.000000000000000000e+00 6.609615370529900538e+05 3.157345550780609855e+00 2.711067919433135520e-01 3.428452342723923518e+00 5.806630626745248325e-01 1.611015181197562356e+02
-2.308172108304317575e+06 -9.429001336743969659e+03 3.893449307388142188e+03 0.000000000000000000e+00 7.479060900771496989e+00 7.989834160058180146e+00 0.000000000000000000e+00 -1.452181722255297238e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -2.251109517435670726e-01 -2.310573890595228053e-01 0.000000000000000000e+00 8.559903860490204534e+05 3.166543973996751138e+00 3.225871318479680006e-01 3.489131105844719194e+00 5.748602825224903290e-01 1.370140011390657264e+02
-2.338409002621209249e+06 -1.045176596838496334e+04 2.895940999610432755e+03 0.000000000000000000e+00 -5.167974703659913516e+00 -9.683246015471985046e+00 0.000000000000000000e+00 -1.232347444486864144e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.558467185435242430e-02 1.127350977540795829e-01 0.000000000000000000e+00 1.106061558134345338e+06 3.180108226191614929e+00 1.256935082284598992e-01 3.305801734420074744e+00 5.691548344340424670e-01 2.603827419466234915e+03
-1.920854744957834249e+06 -7.286695277377748425e+03 -5.789221308584969847e+02 0.000000000000000000e+00 6.153543921720833865e+00 9.052710873865116525e+00 0.000000000000000000e+00 -1.184329035691028927e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.872353490983225677e-01 -2.570081282482687968e-01 0.000000000000000000e+00 7.365257092668053228e+05 3.158380344667970352e+00 3.179783859598782625e-01 3.476358730627848725e+00 5.629895091492435055e-01 1.313701939654494595e+02
-2.562226169028044213e+06 -8.805986104326153509e+03 -2.050422841650745795e+03 0.000000000000000000e+00 -7.480803492221594908e+00 8.017714435102302417e+00 0.000000000000000000e+00 -1.476941214290649630e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.440261956221948747e-01 -1.184497878268682552e-01 0.000000000000000000e+00 1.085284954737394582e+06 3.183512394952564772e+00 1.864776052549818874e-01 3.369990000207546466e+00 5.569934045368244435e-01 9.680105993010893144e+02
-1.831288244582226034e+06 -6.273898707975018624e+03 -9.755593022360202440e+02 0.000000000000000000e+00 6.023716552786529732e+00 9.137709052068135662e+00 0.000000000000000000e+00 -1.161070118930546334e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -2.043781960597990111e-01 -2.926184763621717533e-01 0.000000000000000000e+00 6.702181256516798167e+05 3.154086283290971515e+00 3.569257902326147813e-01 3.511012073523586352e+00 5.506155012479865274e-01 3.493623067445949459e+01
-1.835136076004211325e+06 -6.686424509354132169e+03 -7.599209873400338438e+03 0.000000000000000000e+00 5.046405011109276195e+00 -9.721250463515275442e+00 0.000000000000000000e+00 -1.085291067549618892e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.124038525712236503e-01 2.077740939406688692e-01 0.000000000000000000e+00 7.498450084545924328e+05 3.160069453017142038e+00 2.362301847472487448e-01 3.396299637764390589e+00 5.445746458990023964e-01 1.944167021409040899e+03
